Subject,Start Date,Start Time,End Date,End Time,Description,Location,Private
High Tide: 0.334 ft.,01/22/2021,03:36 AM,01/22/2021,04:06 AM,"Tides from: http://tidesandcurrents.noaa.gov/tide_predictions.shtml.\nCalendar template created in dotNetCore by Brian Wharton","Location: 8654467 USCG Station Hatteras, NC",false
Low Tide: 0.119 ft.,01/22/2021,10:24 AM,01/22/2021,10:54 AM,"Tides from: http://tidesandcurrents.noaa.gov/tide_predictions.shtml.\nCalendar template created in dotNetCore by Brian Wharton","Location: 8654467 USCG Station Hatteras, NC",false
High Tide: 0.241 ft.,01/22/2021,03:49 PM,01/22/2021,04:19 PM,"Tides from: http://tidesandcurrents.noaa.gov/tide_predictions.shtml.\nCalendar template created in dotNetCore by Brian Wharton","Location: 8654467 USCG Station Hatteras, NC",false
Low Tide: 0.019 ft.,01/22/2021,10:22 PM,01/22/2021,10:52 PM,"Tides from: http://tidesandcurrents.noaa.gov/tide_predictions.shtml.\nCalendar template created in dotNetCore by Brian Wharton","Location: 8654467 USCG Station Hatteras, NC",false
High Tide: 0.331 ft.,01/23/2021,04:33 AM,01/23/2021,05:03 AM,"Tides from: http://tidesandcurrents.noaa.gov/tide_predictions.shtml.\nCalendar template created in dotNetCore by Brian Wharton","Location: 8654467 USCG Station Hatteras, NC",false
Low Tide: 0.098 ft.,01/23/2021,11:17 AM,01/23/2021,11:47 AM,"Tides from: http://tidesandcurrents.noaa.gov/tide_predictions.shtml.\nCalendar template created in dotNetCore by Brian Wharton","Location: 8654467 USCG Station Hatteras, NC",false
High Tide: 0.218 ft.,01/23/2021,04:51 PM,01/23/2021,05:21 PM,"Tides from: http://tidesandcurrents.noaa.gov/tide_predictions.shtml.\nCalendar template created in dotNetCore by Brian Wharton","Location: 8654467 USCG Station Hatteras, NC",false
Low Tide: 0.007 ft.,01/23/2021,11:08 PM,01/23/2021,11:38 PM,"Tides from: http://tidesandcurrents.noaa.gov/tide_predictions.shtml.\nCalendar template created in dotNetCore by Brian Wharton","Location: 8654467 USCG Station Hatteras, NC",false
High Tide: 0.336 ft.,01/24/2021,05:23 AM,01/24/2021,05:53 AM,"Tides from: http://tidesandcurrents.noaa.gov/tide_predictions.shtml.\nCalendar template created in dotNetCore by Brian Wharton","Location: 8654467 USCG Station Hatteras, NC",false
Low Tide: 0.084 ft.,01/24/2021,12:01 PM,01/24/2021,12:31 PM,"Tides from: http://tidesandcurrents.noaa.gov/tide_predictions.shtml.\nCalendar template created in dotNetCore by Brian Wharton","Location: 8654467 USCG Station Hatteras, NC",false
High Tide: 0.209 ft.,01/24/2021,05:41 PM,01/24/2021,06:11 PM,"Tides from: http://tidesandcurrents.noaa.gov/tide_predictions.shtml.\nCalendar template created in dotNetCore by Brian Wharton","Location: 8654467 USCG Station Hatteras, NC",false
Low Tide: -0.003 ft.,01/24/2021,11:48 PM,01/25/2021,12:18 AM,"Tides from: http://tidesandcurrents.noaa.gov/tide_predictions.shtml.\nCalendar template created in dotNetCore by Brian Wharton","Location: 8654467 USCG Station Hatteras, NC",false
High Tide: 0.346 ft.,01/25/2021,06:07 AM,01/25/2021,06:37 AM,"Tides from: http://tidesandcurrents.noaa.gov/tide_predictions.shtml.\nCalendar template created in dotNetCore by Brian Wharton","Location: 8654467 USCG Station Hatteras, NC",false
Low Tide: 0.077 ft.,01/25/2021,12:48 PM,01/25/2021,01:18 PM,"Tides from: http://tidesandcurrents.noaa.gov/tide_predictions.shtml.\nCalendar template created in dotNetCore by Brian Wharton","Location: 8654467 USCG Station Hatteras, NC",false
High Tide: 0.208 ft.,01/25/2021,06:26 PM,01/25/2021,06:56 PM,"Tides from: http://tidesandcurrents.noaa.gov/tide_predictions.shtml.\nCalendar template created in dotNetCore by Brian Wharton","Location: 8654467 USCG Station Hatteras, NC",false
Low Tide: -0.008 ft.,01/26/2021,12:30 AM,01/26/2021,01:00 AM,"Tides from: http://tidesandcurrents.noaa.gov/tide_predictions.shtml.\nCalendar template created in dotNetCore by Brian Wharton","Location: 8654467 USCG Station Hatteras, NC",false
High Tide: 0.359 ft.,01/26/2021,06:53 AM,01/26/2021,07:23 AM,"Tides from: http://tidesandcurrents.noaa.gov/tide_predictions.shtml.\nCalendar template created in dotNetCore by Brian Wharton","Location: 8654467 USCG Station Hatteras, NC",false
Low Tide: 0.072 ft.,01/26/2021,01:47 PM,01/26/2021,02:17 PM,"Tides from: http://tidesandcurrents.noaa.gov/tide_predictions.shtml.\nCalendar template created in dotNetCore by Brian Wharton","Location: 8654467 USCG Station Hatteras, NC",false
High Tide: 0.215 ft.,01/26/2021,07:12 PM,01/26/2021,07:42 PM,"Tides from: http://tidesandcurrents.noaa.gov/tide_predictions.shtml.\nCalendar template created in dotNetCore by Brian Wharton","Location: 8654467 USCG Station Hatteras, NC",false
Low Tide: -0.008 ft.,01/27/2021,01:22 AM,01/27/2021,01:52 AM,"Tides from: http://tidesandcurrents.noaa.gov/tide_predictions.shtml.\nCalendar template created in dotNetCore by Brian Wharton","Location: 8654467 USCG Station Hatteras, NC",false
High Tide: 0.378 ft.,01/27/2021,07:42 AM,01/27/2021,08:12 AM,"Tides from: http://tidesandcurrents.noaa.gov/tide_predictions.shtml.\nCalendar template created in dotNetCore by Brian Wharton","Location: 8654467 USCG Station Hatteras, NC",false
Low Tide: 0.064 ft.,01/27/2021,02:41 PM,01/27/2021,03:11 PM,"Tides from: http://tidesandcurrents.noaa.gov/tide_predictions.shtml.\nCalendar template created in dotNetCore by Brian Wharton","Location: 8654467 USCG Station Hatteras, NC",false
High Tide: 0.233 ft.,01/27/2021,08:01 PM,01/27/2021,08:31 PM,"Tides from: http://tidesandcurrents.noaa.gov/tide_predictions.shtml.\nCalendar template created in dotNetCore by Brian Wharton","Location: 8654467 USCG Station Hatteras, NC",false
Low Tide: -0.009 ft.,01/28/2021,02:19 AM,01/28/2021,02:49 AM,"Tides from: http://tidesandcurrents.noaa.gov/tide_predictions.shtml.\nCalendar template created in dotNetCore by Brian Wharton","Location: 8654467 USCG Station Hatteras, NC",false
High Tide: 0.402 ft.,01/28/2021,08:29 AM,01/28/2021,08:59 AM,"Tides from: http://tidesandcurrents.noaa.gov/tide_predictions.shtml.\nCalendar template created in dotNetCore by Brian Wharton","Location: 8654467 USCG Station Hatteras, NC",false
Low Tide: 0.056 ft.,01/28/2021,03:23 PM,01/28/2021,03:53 PM,"Tides from: http://tidesandcurrents.noaa.gov/tide_predictions.shtml.\nCalendar template created in dotNetCore by Brian Wharton","Location: 8654467 USCG Station Hatteras, NC",false
High Tide: 0.261 ft.,01/28/2021,08:46 PM,01/28/2021,09:16 PM,"Tides from: http://tidesandcurrents.noaa.gov/tide_predictions.shtml.\nCalendar template created in dotNetCore by Brian Wharton","Location: 8654467 USCG Station Hatteras, NC",false
Low Tide: -0.005 ft.,01/29/2021,03:06 AM,01/29/2021,03:36 AM,"Tides from: http://tidesandcurrents.noaa.gov/tide_predictions.shtml.\nCalendar template created in dotNetCore by Brian Wharton","Location: 8654467 USCG Station Hatteras, NC",false
High Tide: 0.428 ft.,01/29/2021,09:10 AM,01/29/2021,09:40 AM,"Tides from: http://tidesandcurrents.noaa.gov/tide_predictions.shtml.\nCalendar template created in dotNetCore by Brian Wharton","Location: 8654467 USCG Station Hatteras, NC",false
